feature_name,canonical_column_name,legacy_aliases,registry_record_type,replacement_feature_name,feature_granularity,page_aggregation_rule,feature_layer,feature_group,primitive_or_composite,definition,formula,source_provenance,required_input,transformation,language_dependency,extraction_requirement,missing_value_meaning,topic_specificity,generalizability,leakage_status,expected_confounders,measurement_risks,recommended_model_role,feature_status,current_implementation_status,taxonomy_or_rule_version,qa_status,approved_for_model_v1,minimum_qa_gate,model_entry_blocker,validation_requirement,notes,registry_version
table_has_rating_or_review,table_has_rating_or_review,,canonical,,table_level,max over measured tables; count tables satisfying condition in Commerce-General extension,commerce_general,table_commerce,primitive,"Table presents ratings, review counts, or review summaries.",1[validated rating/review structure],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,commerce,conditional,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",commerce_extension_only,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate only on commercial samples; exclude from universal Core-General headline models.,Pricing and commerce structure may primarily identify commercial page function.,core_general_table_registry_schema_v2
external_link_count,external_link_count,,canonical,,not_table_related,not_applicable,core_general,external_evidence,primitive,Count of content links to external root domains.,count(content href root_domain != source_root_domain),html_dom,resolved href destinations,count_or_log2,low,reliable HTML links and DOM context,"Missing means link destinations were unavailable, not zero.",general,high,safe_pre_outcome,domain template; page function,"Navigation, tracking and redirects distort destinations.",sensitivity,needs_extraction_fix,implemented_pending_qa,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Preserve resolved hrefs and exclude navigation/footer links.,,core_general_table_registry_schema_v2
official_domain_link_count,official_domain_link_count,,canonical,,not_table_related,not_applicable,core_general,external_evidence,primitive,"Links to verified official, government, standards or institutional domains.",count(external links matching versioned official registry/rule),html_dom,resolved hrefs and domain-role registry,count_or_binary,medium,reliable links and versioned domain roles,Missing means links or roles were unavailable.,general,conditional,safe_pre_outcome,source authority; topic,Official-domain classification is imperfect and jurisdiction-specific.,sensitivity,needs_extraction_fix,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Document domain-role rules and manually validate across countries.,,core_general_table_registry_schema_v2
reference_language_count,reference_language_count,,canonical,,not_table_related,not_applicable,core_general,external_evidence,primitive,Count of visible citation/reference phrases.,count(versioned multilingual reference phrases),page_text,page text and phrase registry,count_or_density,high,multilingual versioned phrase rules,Missing means text was unavailable.,general,conditional,safe_pre_outcome,genre; language,Phrases may not correspond to actual external evidence.,diagnostic_or_sensitivity,needs_extraction_fix,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate phrase-to-link agreement; never label as verified evidence alone.,,core_general_table_registry_schema_v2
unique_external_domain_count,unique_external_domain_count,,canonical,,not_table_related,not_applicable,core_general,external_evidence,primitive,Unique external root domains linked from content.,nunique(external resolved root domains),html_dom,resolved external hrefs,count_or_log2,low,reliable HTML links,Missing means link destinations were unavailable.,general,high,safe_pre_outcome,page function; template,Affiliate and tracking redirects inflate domain variety.,sensitivity,needs_extraction_fix,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Canonicalize redirects and validate content-only links.,,core_general_table_registry_schema_v2
content_feature_available,content_feature_available,,canonical,,not_table_related,not_applicable,core_general,extraction_quality,primitive,Content features can be measured for the row/page.,1[required extraction fields measurable],scrape_and_parse,scrape/parse/extraction outputs,binary,low,documented availability rule,"False means unavailable, not feature absence.",general,high,safe_diagnostic,platform; blocking; JavaScript; page type,Availability is plausibly non-random.,G6_selection_diagnostic,diagnostic_only,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,"Audit availability by cited status, domain, taxonomy and language.",,core_general_table_registry_schema_v2
content_strength,content_strength,,canonical,,not_table_related,not_applicable,core_general,extraction_quality,composite,"Extraction strength, not writing quality.",versioned rule from text scope/length/quality signals,scrape_and_parse,content quality primitives,categorical,medium,documented quality rules,Missing means quality was not classified.,general,high,safe_diagnostic,platform; page type; domain technology,Can reflect page accessibility rather than content quality.,G5_covariate_and_restriction,diagnostic_only,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,"Run main model without mandatory control, then add covariate and strong-only sensitivity.",,core_general_table_registry_schema_v2
feature_extraction_text_scope,feature_extraction_text_scope,,canonical,,not_table_related,not_applicable,core_general,extraction_quality,primitive,"Whether features use full text, excerpt, metadata only or no text.",recorded extraction provenance,scrape_and_parse,text source provenance,categorical,low,provenance retained,Missing means provenance was not recorded.,general,high,safe_diagnostic,crawler and page technology,Scope labels may not guarantee complete main content.,G5B_G5C_diagnostic,diagnostic_only,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Manually verify full-text-equivalent classification.,,core_general_table_registry_schema_v2
audit_scrape_gap_days,audit_scrape_gap_days,,canonical,,not_table_related,not_applicable,core_general,freshness,derived_primitive,Days between citation audit and content scrape.,date(scrape_timestamp) - date(audit_timestamp),audit_and_scrape_metadata,audit_timestamp and scrape_timestamp,continuous_or_bins,low,timestamps retained,Missing means one timestamp was unavailable.,general,high,safe_diagnostic,crawl scheduling,Does not measure actual page-change timing.,diagnostic_or_sensitivity,diagnostic_only,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate timestamp timezone and sign.,,core_general_table_registry_schema_v2
freshness_days,freshness_days,,canonical,,not_table_related,not_applicable,core_general,freshness,derived_primitive,Age of page publication/update at audit time.,audit_timestamp - best validated published/modified date,html_metadata_or_schema,audit timestamp and extracted date,continuous_or_bins,medium,reliable date extraction,Missing means no reliable page date was available.,general,conditional,safe_pre_outcome,page type; publisher,"Dates may refer to templates, events or updates.",diagnostic_or_sensitivity,refactor_needed,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Add date_extraction_quality and manual validation.,,core_general_table_registry_schema_v2
heading_count,heading_count,,canonical,,not_table_related,not_applicable,core_general,heading_structure,primitive,Count of preserved content headings.,count(H1-H6 content nodes),html_dom_or_markdown,heading nodes,count_or_prespecified_bins,medium,HTML tags or preserved Markdown headings,Missing means heading structure was unavailable.,general,high,safe_pre_outcome,domain template; page type; length,Navigation headings and flattened text bias counts.,focal_nonlinear,core_keep,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Separate content headings from navigation and check nonlinear support.,,core_general_table_registry_schema_v2
heading_depth,heading_depth,,canonical,,not_table_related,not_applicable,core_general,heading_structure,primitive,Maximum verified H1-H6 depth used in content.,max(level of content heading nodes),html_dom,H1-H6 nodes,count_or_bins,low,preserved HTML heading tags,Missing means tag depth was unavailable.,general,high,safe_pre_outcome,CMS template,Cannot be inferred reliably from flattened text.,candidate_focal,refactor_needed,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,HTML-only validation across CMS platforms.,,core_general_table_registry_schema_v2
heading_hierarchy_consistency,heading_hierarchy_consistency,,canonical,,not_table_related,not_applicable,core_general,heading_structure,composite,Degree to which content headings follow a coherent hierarchy.,documented score from skipped levels; repeated H1; order,html_dom,ordered H1-H6 nodes,bounded_score,low,preserved ordered heading tags,Missing means hierarchy was unverifiable.,general,high,safe_pre_outcome,CMS template,Score formula can hide component behavior.,sensitivity,refactor_needed,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Retain skipped-level and repeated-H1 primitives; test component dominance.,,core_general_table_registry_schema_v2
question_heading_count,question_heading_count,,canonical,,not_table_related,not_applicable,core_general,heading_structure,primitive,Content headings phrased as visible questions.,count(question headings),html_dom_or_markdown,heading text,count_or_binary,high,preserved headings and language-specific question rules,Missing means headings were unavailable.,general,conditional,safe_pre_outcome,language; page type,Thai questions may omit question marks.,candidate_focal,core_keep,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Thai/English manual validation and segmentation confidence.,,core_general_table_registry_schema_v2
language,language,,canonical,,not_table_related,not_applicable,core_general,language_quality,primitive,Detected or source-provided page language.,versioned language detector plus metadata,page_text_and_metadata,page text and lang metadata,categorical,high,language detection evidence,Unknown means language could not be established.,general,high,safe_diagnostic,topic and market,Mixed-language pages and short excerpts reduce accuracy.,diagnostic_or_interaction_support,diagnostic_only,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,"Validate Thai, English and mixed pages.",,core_general_table_registry_schema_v2
segmentation_confidence,segmentation_confidence,,canonical,,not_table_related,not_applicable,core_general,language_quality,primitive,Confidence or quality class for segmentation.,predefined validation-based confidence rule,feature_extraction,language and segmentation diagnostics,categorical,high,validated segmenter,Missing means confidence was not assessed.,general,high,safe_diagnostic,language and extraction scope,Uncalibrated confidence can mislead.,diagnostic_or_restriction,diagnostic_only,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Calibrate against manually segmented Thai/English samples.,,core_general_table_registry_schema_v2
segmentation_method,segmentation_method,,canonical,,not_table_related,not_applicable,core_general,language_quality,primitive,Sentence/token segmentation method used.,recorded algorithm/model version,feature_extraction,segmenter metadata,categorical,high,provenance recorded,Missing means segmentation provenance was lost.,general,high,safe_diagnostic,language,Different methods change structural counts.,diagnostic,diagnostic_only,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Record exact method and version for every row.,,core_general_table_registry_schema_v2
bullet_list_count,bullet_list_count,,canonical,,not_table_related,not_applicable,core_general,list_structure,primitive,Count of content bullet lists.,count(UL content nodes or validated Markdown lists),html_dom_or_markdown,list nodes,count_or_binary,low,preserved list structure,Missing means list structure was unavailable.,general,high,safe_pre_outcome,template; page type,Navigation menus may be counted as lists.,candidate_focal,refactor_needed,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Exclude navigation/footer lists using DOM context.,,core_general_table_registry_schema_v2
numbered_list_count,numbered_list_count,,canonical,,not_table_related,not_applicable,core_general,list_structure,primitive,Count of content ordered lists.,count(OL content nodes or validated Markdown lists),html_dom_or_markdown,list nodes,count_or_binary,low,preserved list structure,Missing means list structure was unavailable.,general,high,safe_pre_outcome,how-to page function,Numbered paragraphs may be false positives.,candidate_focal,refactor_needed,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Compare DOM and Markdown detection.,,core_general_table_registry_schema_v2
measurement_count,measurement_count,,canonical,,not_table_related,not_applicable,core_general,numeric_detail,primitive,Count of number-plus-unit measurements using a general unit registry.,count(general measurement patterns),page_text,page text and general unit registry,count_or_density,high,versioned cross-industry unit parser,Missing means text was unavailable.,general,conditional,safe_pre_outcome,industry mix; language,A unit dictionary can silently become vertical-specific.,candidate_component,refactor_needed,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Separate universal units from vertical extension registries.,,core_general_table_registry_schema_v2
number_token_count,number_token_count,,canonical,,not_table_related,not_applicable,core_general,numeric_detail,primitive,Count of numeric tokens in measurable content.,count(valid numeric tokens),page_text,page text,count,medium,language-aware number parsing,Missing means text was unavailable.,general,high,safe_pre_outcome,length; page type,"IDs, dates and navigation numbers inflate counts.",diagnostic_primitive,core_keep,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate token classes and use with a preselected density/count form.,,core_general_table_registry_schema_v2
number_token_density,number_token_density,,canonical,,not_table_related,not_applicable,core_general,numeric_detail,derived_primitive,Numeric tokens normalized by measurable words.,1000 * number_token_count / word_count,page_text,number_token_count and word_count,density_per_1000_words,medium,measurable content and number parser,Missing means numerator or denominator was unavailable.,general,high,safe_pre_outcome,page type; language,Unstable on very short pages.,candidate_focal,core_keep,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Set minimum word support; do not pair automatically with raw count.,,core_general_table_registry_schema_v2
percentage_count,percentage_count,,canonical,,not_table_related,not_applicable,core_general,numeric_detail,primitive,Count of percentage expressions.,count(percent patterns),page_text,page text,count_or_density,medium,multilingual regex/parser,Missing means text was unavailable.,general,high,safe_pre_outcome,topic; page type,Locale-specific formats may be missed.,candidate_component,core_keep,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate Thai/English and decimal formats.,,core_general_table_registry_schema_v2
range_pattern_count,range_pattern_count,,canonical,,not_table_related,not_applicable,core_general,numeric_detail,primitive,Count of explicit numeric ranges.,count(number-range-number patterns),page_text,page text,count_or_density,medium,multilingual range parser,Missing means text was unavailable.,general,high,safe_pre_outcome,topic; page type,Hyphens and identifiers produce false positives.,candidate_component,core_keep,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate punctuation and Thai range words.,,core_general_table_registry_schema_v2
year_count,year_count,,canonical,,not_table_related,not_applicable,core_general,numeric_detail,primitive,Count of plausible year expressions.,count(year patterns in approved range),page_text,page text,count_or_binary,low,measurable text,Missing means text was unavailable.,general,high,safe_pre_outcome,news/document page function,Model numbers can resemble years.,candidate_component,core_keep,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate plausible-year range before freezing.,,core_general_table_registry_schema_v2
opening_summary_signal,opening_summary_signal,,canonical,,not_table_related,not_applicable,core_general,opening_structure,composite,Opening content provides a summary or direct orientation.,documented score from first content block primitives,page_text_or_blocks,opening content blocks,binary_or_score,high,reliable main-content ordering,Missing means opening content was unavailable.,general,conditional,safe_pre_outcome,page type; language,Keyword dictionaries can become topic-specific.,sensitivity,refactor_needed,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Freeze cross-industry multilingual rules and retain components.,,core_general_table_registry_schema_v2
log2_content_chars_plus1,log2_content_chars_plus1,,canonical,,not_table_related,not_applicable,core_general,page_length,derived_primitive,Alternative character-length measure.,log2(content_chars + 1),extracted_page_text,content_chars,log2,low,measurable page text,Unavailable means content was not measurable.,general,high,safe_pre_outcome,page type; domain template; extraction scope,HTML noise and script text may inflate characters.,sensitivity_alternative,sensitivity_only,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Compare with word length; never include both automatically.,"Alternative to, not companion for, the primary length measure.",core_general_table_registry_schema_v2
log2_word_count_plus1,log2_word_count_plus1,,canonical,,not_table_related,not_applicable,core_general,page_length,derived_primitive,Primary page-length measure.,log2(word_count + 1),extracted_page_text,word_count,log2,medium,measurable page text,Unavailable means length was not measurable; never zero-fill.,general,high,safe_pre_outcome,page type; domain template; extraction scope,Truncation and boilerplate alter length.,focal_G1_G2,core_keep,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Compare against full-text word counts and inspect tails.,Do not include jointly with log2_content_chars_plus1 without a collinearity justification.,core_general_table_registry_schema_v2
general_keyword_overlap,general_keyword_overlap,,canonical,,not_table_related,not_applicable,core_general,prompt_page_relevance,derived_primitive,General prompt-page token overlap without vertical dictionaries.,"documented overlap(prompt tokens, page tokens)",prompt_and_page_text,prompt and page text,bounded_overlap,high,multilingual tokenization and stopwords,Missing means prompt/page tokens were unavailable.,general,high,safe_no_answer,selection; language,Token overlap favors repeated wording over semantic relevance.,G2R_sensitivity,sensitivity_only,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Freeze stopwords and tokenizer before outcomes.,,core_general_table_registry_schema_v2
prompt_body_similarity,prompt_body_similarity,,canonical,,not_table_related,not_applicable,core_general,prompt_page_relevance,derived_primitive,Leakage-safe prompt-page-body similarity.,"predeclared similarity(prompt, measurable page body)",prompt_and_page_text,prompt text and page body/Markdown,bounded_similarity,high,reliable measurable text and versioned similarity,Missing means page body or prompt was unavailable.,general,high,safe_no_answer,surfaced-source selection; extraction scope,Excerpt/full-text differences alter relevance.,G2R_sensitivity,sensitivity_only,implemented_partial,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Compare excerpt and full-text scores; never use answer text.,,core_general_table_registry_schema_v2
prompt_meta_similarity,prompt_meta_similarity,,canonical,,not_table_related,not_applicable,core_general,prompt_page_relevance,derived_primitive,Leakage-safe prompt-meta-description similarity.,"predeclared similarity(prompt, meta description)",prompt_and_metadata,prompt text and meta description,bounded_similarity,high,multilingual tokenizer or embedding,Missing means metadata was unavailable.,general,high,safe_no_answer,selection; page type,"Metadata can be templated, stale or absent.",G2R_sensitivity,sensitivity_only,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Version method and report metadata coverage.,,core_general_table_registry_schema_v2
prompt_page_relevance_score,prompt_page_relevance_score,,canonical,,not_table_related,not_applicable,core_general,prompt_page_relevance,composite,Combined leakage-safe prompt-page relevance score.,predeclared combination of URL/title/meta/body/overlap components,prompt_and_page,primitive relevance components,bounded_score,high,all selected components,Missing means required relevance components were unavailable.,general,conditional,safe_no_answer,surfaced-source selection,Composite may be dominated by body similarity and extraction scope.,G2R_sensitivity,sensitivity_only,legacy_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Document weights; retain components; test dominance; never model with all components automatically.,,core_general_table_registry_schema_v2
