feature_name,feature_family,subfamily,feature_type,granularity,source_input,transformation,interpretation,generality_scope,proposed_model_role,current_qa_status,approved_for_model_v1,model_entry_blocker,leakage_status,version
content_chars,Core-General,content_length_and_text,numeric_count,source_appearance | url,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing content chars. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing content chars. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
full_body_chars,Core-General,content_length_and_text,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Pipeline field representing full body chars. See source-layer and caveat columns before model use. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
full_body_text,Core-General,content_length_and_text,text,url,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Full visible body text extracted from archived HTML after script/style noise removal. Model interpretation: Full visible body text extracted from archived HTML after script/style noise removal.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
full_body_text_path,Core-General,content_length_and_text,text_or_provenance,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Filesystem path to the stored full body text audit artifact. Model interpretation: diagnostic_only,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
full_body_word_count,Core-General,content_length_and_text,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of full body word observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
log2_word_count_plus1_winsorized_p99,Core-General,content_length_and_text,continuous log2,source_appearance,Input C: scraper/page evidence (current_lpm),continuous log2,Page length after capping word count at the measurable-sample 99th percentile Model interpretation: Compare with the preferred log2 word-count coefficient to assess tail influence,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,modeled_current_lpm,False,redesigned model-entry QA and human approval required,legacy_risk_low_or_controlled,current_lpm_legacy
main_content_chars,Core-General,content_length_and_text,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Pipeline field representing main content chars. See source-layer and caveat columns before model use. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
main_content_ratio,Core-General,content_length_and_text,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Main-content characters divided by full-body characters. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
main_content_text,Core-General,content_length_and_text,text,url,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Best-effort main article/page content extracted from main/article/content containers. Model interpretation: Best-effort main article/page content extracted from main/article/content containers.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
main_content_text_path,Core-General,content_length_and_text,text_or_provenance,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Filesystem path to the stored main content text audit artifact. Model interpretation: diagnostic_only,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
main_content_word_count,Core-General,content_length_and_text,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of main content word observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
url_text_length_chars,Core-General,content_length_and_text,text,source_appearance,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing url text length chars. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing url text length chars. See source-layer and caveat columns before model use.,requires review,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
url_text_length_words,Core-General,content_length_and_text,text,source_appearance,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing url text length words. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing url text length words. See source-layer and caveat columns before model use.,requires review,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
word_count,Core-General,content_length_and_text,continuous count,source_appearance | url,Input C: scraper/page evidence (current_lpm),continuous count,Extracted words Model interpretation: Use for distributions and thresholds,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,modeled_current_lpm,False,redesigned model-entry QA and human approval required,legacy_risk_low_or_controlled,current_lpm_legacy
word_count_group,Core-General,content_length_and_text,categorical_or_text,source_appearance,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing word count group. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing word count group. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
word_count_top_1pct,Core-General,content_length_and_text,binary,source_appearance,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing word count top 1pct. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing word count top 1pct. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
evidence_phrase_count,Core-General,external_evidence,url_regex_phrase_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Raw URL/domain counts plus bilingual source/evidence phrases and an additive log1p composite.,"Visible external-evidence signals in captured webpage content, never AI-answer citations. Model interpretation: diagnostic_only_until_validated",cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
external_citation_count,Core-General,external_evidence,count,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),resolved hrefs,Outbound links to external evidence Model interpretation: binary plus log2 count,requires review,Core-General diagnostic/candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
external_evidence_score,Core-General,external_evidence,url_regex_phrase_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),has_external_evidence + log1p(external_link_count) + log1p(official_link_count) + log1p(source_reference_phrase_count + evidence_phrase_count),"Visible external-evidence signals in captured webpage content, never AI-answer citations. Model interpretation: diagnostic_only_until_validated",cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
external_link_count,Core-General,external_evidence,count_or_log2,not_table_related,Input C: scraper/page evidence (resolved href destinations),count_or_log2,Count of content links to external root domains. Model interpretation: diagnostic_only_until_validated,general,Core-General diagnostic/candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
has_external_evidence,Core-General,external_evidence,url_regex_phrase_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Raw URL/domain counts plus bilingual source/evidence phrases and an additive log1p composite.,"Visible external-evidence signals in captured webpage content, never AI-answer citations. Model interpretation: diagnostic_only_until_validated",cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
official_domain_link_count,Core-General,external_evidence,count_or_binary,not_table_related,Input C: scraper/page evidence (resolved hrefs and domain-role registry),count_or_binary,"Links to verified official, government, standards or institutional domains.",general,Core-General diagnostic/candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
official_link_count,Core-General,external_evidence,url_regex_phrase_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Raw URL/domain counts plus bilingual source/evidence phrases and an additive log1p composite.,"Visible external-evidence signals in captured webpage content, never AI-answer citations. Model interpretation: diagnostic_only_until_validated",cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
source_reference_phrase_count,Core-General,external_evidence,url_regex_phrase_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Raw URL/domain counts plus bilingual source/evidence phrases and an additive log1p composite.,"Visible external-evidence signals in captured webpage content, never AI-answer citations. Model interpretation: diagnostic_only_until_validated",cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
unique_external_domain_count,Core-General,external_evidence,count_or_log2,not_table_related,Input C: scraper/page evidence (resolved external hrefs),count_or_log2,Unique external root domains linked from content.,general,Core-General diagnostic/candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
external_link_domain_count,Core-General,external_evidence | link_structure,url_regex_phrase_or_composite | numeric,source_appearance | url,Input C: scraper/page evidence (writing_factual | document_structure),Raw URL/domain counts plus bilingual source/evidence phrases and an additive log1p composite. | Extracted from HTML/DOM.,"Visible external-evidence signals in captured webpage content, never AI-answer citations. | external link domain count Model interpretation: diagnostic_only_until_validated | candidate_after_eda",cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
area_measurement_count,Core-General,factual specificity,count,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),page text only,"sqm, square metre, rai, unit-size mentions Model interpretation: binary plus log2 count",cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
bed_bath_unit_count,Core-General,factual specificity,count,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),page text only,"Bedroom, bathroom, and unit-layout facts Model interpretation: binary plus count group",cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
location_entity_count,Core-General,factual specificity,count,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),NER/dictionary,"Named neighborhoods, roads, stations, landmarks Model interpretation: log2 count",cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
numeric_token_density,Core-General,factual specificity,continuous,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),page text only,"Numbers per 1,000 tokens Model interpretation: continuous or quartiles",cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
transit_distance_count,Core-General,factual specificity,count,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),page text only,BTS/MRT/distance/travel-time facts Model interpretation: binary plus count group,cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
factual_numeric_density_score,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),"min(number_token_per_1000_words / 10, 5) + I(percent_mention_count > 0) + I(year_mention_count > 0) + I(range_mention_count > 0) + log1p(measurement_mention_count)",Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
measurement_mention_count,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Bilingual deterministic regex counts; factual_numeric_density_score = capped numeric tokens/1000 words + percent/year/range indicators + log1p(measurements); price_unit_detail_score = price/unit indicators + log1p price and unit counts.,Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
number_token_per_1000_words,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Bilingual deterministic regex counts; factual_numeric_density_score = capped numeric tokens/1000 words + percent/year/range indicators + log1p(measurements); price_unit_detail_score = price/unit indicators + log1p price and unit counts.,Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
percent_mention_count,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Bilingual deterministic regex counts; factual_numeric_density_score = capped numeric tokens/1000 words + percent/year/range indicators + log1p(measurements); price_unit_detail_score = price/unit indicators + log1p price and unit counts.,Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
price_mention_count,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Bilingual deterministic regex counts; factual_numeric_density_score = capped numeric tokens/1000 words + percent/year/range indicators + log1p(measurements); price_unit_detail_score = price/unit indicators + log1p price and unit counts.,Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
price_unit_detail_score,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),has_price_detail + has_unit_size_detail + log1p(price_mention_count + price_per_sqm_mention_count) + log1p(unit_size_mention_count),Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
range_mention_count,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Bilingual deterministic regex counts; factual_numeric_density_score = capped numeric tokens/1000 words + percent/year/range indicators + log1p(measurements); price_unit_detail_score = price/unit indicators + log1p price and unit counts.,Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
year_mention_count,Core-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Bilingual deterministic regex counts; factual_numeric_density_score = capped numeric tokens/1000 words + percent/year/range indicators + log1p(measurements); price_unit_detail_score = price/unit indicators + log1p price and unit counts.,Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,cross-topic,Core-General candidate; requires QA and human approval,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
freshness_days,Core-General,freshness,continuous_or_bins,not_table_related,Input C: scraper/page evidence (audit timestamp and extracted date),continuous_or_bins,Age of page publication/update at audit time.,general,Core-General diagnostic/candidate; requires QA and human approval,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
dom_heading_count,Core-General,heading_structure,numeric,source_appearance,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,heading count Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
h1_count,Core-General,heading_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of h1 observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
h2_count,Core-General,heading_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of h2 observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
h3_count,Core-General,heading_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of h3 observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
h4_count,Core-General,heading_structure,numeric,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Count of h4 observed in the relevant extracted page representation. Model interpretation: candidate_after_eda,cross-topic,Core-General candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
